SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;4638;7000;19420;61800;19066;44800
10000;9310;15000;29656;61800;37254;106700
15000;13700;20700;56588;183400;57678;128700
20000;17996;29000;67080;193600;72972;196200
25000;24196;54100;67014;193600;94666;241400
30000;28430;54600;95228;265600;131700;387000
35000;34470;60600;99734;284600;133770;387000
40000;38618;61300;134980;483300;177376;569400
45000;45584;89300;153638;483300;191012;569400
50000;45866;89300;124434;483300;201332;569400
55000;50734;89300;163450;550800;263390;695400
60000;56340;89300;176224;550800;259684;695400
65000;62462;107600;226474;645300;344408;846600
70000;66500;130000;271034;680900;347924;846600
75000;65398;130000;322292;680900;352520;846600
80000;71148;130000;342664;744400;385258;1306400
85000;74012;130000;401734;1000200;519974;1306400
90000;79684;130000;380018;1110800;445984;1306400
95000;83748;131700;395842;1110800;490736;1306400
100000;89508;131700;461816;1110800;619912;1306600
