SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;70;100;19452;76000;140;200
10000;76;500;35608;157900;156;300
15000;80;500;54184;215100;144;300
20000;72;500;65052;250000;170;600
25000;86;500;78994;250000;166;600
30000;92;500;106856;392400;166;600
35000;90;500;107636;392400;174;700
40000;84;500;146972;401100;184;800
45000;90;500;140206;434700;170;800
50000;86;500;164162;448200;168;800
55000;92;500;177418;448200;168;800
60000;90;500;217174;603900;176;800
65000;92;500;277774;688400;186;800
70000;90;500;331774;1089200;196;800
75000;100;500;344544;1089200;194;800
80000;90;500;340304;1089200;198;800
85000;92;500;390024;1089200;202;800
90000;86;500;362292;1089200;168;800
95000;96;600;436714;1089200;166;800
100000;80;600;482264;1457800;194;800
