SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;19556;34500;174;1100;150;400
10000;24942;67500;164;1100;176;400
15000;23444;71200;150;1100;186;400
20000;29712;71200;174;1100;192;1200
25000;39990;80200;170;1100;212;1200
30000;53182;80200;190;1100;214;1200
35000;55092;80200;174;1100;206;1200
40000;66004;87600;190;1100;228;1200
45000;74310;104900;166;1100;220;1400
50000;79966;111700;188;1100;210;1400
55000;88040;122500;220;1300;218;1400
60000;95458;136400;180;1300;218;1400
65000;108456;142900;192;1300;232;1400
70000;116864;308900;192;1300;216;1400
75000;112892;308900;184;1300;222;1400
80000;117272;308900;182;1300;230;1400
85000;124884;308900;184;1300;204;1400
90000;130574;308900;198;1300;244;1400
95000;140692;308900;180;1300;210;1400
100000;151008;308900;188;1300;214;1400
