SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;3658;5900;10004;27000;8174;13500
10000;7314;11000;19582;71200;15282;35400
15000;10528;13900;33554;87300;22754;66600
20000;14184;17600;39038;125100;29568;116400
25000;18284;22300;44452;145200;34690;116400
30000;24418;109400;64572;306700;41738;116400
35000;25034;109400;62600;306700;59294;268500
40000;31466;109400;82996;306700;57108;268500
45000;32722;109400;78552;306700;62036;268500
50000;37612;109400;74864;306700;70670;268500
55000;40796;109400;113490;472600;87846;279500
60000;43112;109400;105910;472600;90732;401100
65000;47660;109400;153466;572700;107384;401100
70000;51284;109400;156542;572700;125466;401100
75000;53996;109400;184174;572700;134810;429900
80000;56226;109400;191290;572700;127590;429900
85000;58638;109400;219502;572700;156360;429900
90000;64582;109400;223050;572700;148042;429900
95000;66858;109400;246542;572700;158742;429900
100000;69966;109400;293968;572700;181406;494300
