SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;18014;29400;172;300;160;300
10000;17952;31400;194;1200;170;400
15000;17288;66200;168;1200;184;1400
20000;13444;73800;178;1200;182;1400
25000;10688;73800;184;1200;186;1400
30000;14060;73800;178;1200;174;1400
35000;13538;73800;192;1500;172;1400
40000;18554;73800;186;1500;182;1400
45000;20794;73800;182;1500;190;1400
50000;22720;73800;174;1500;178;1400
55000;26752;73800;198;1500;184;1400
60000;26324;73800;184;1500;216;2500
65000;30642;93400;212;1800;174;2500
70000;30444;93400;180;1800;250;2700
75000;31046;93400;176;1800;176;2700
80000;30738;93400;170;1800;168;2700
85000;32486;93400;186;1800;178;2700
90000;32638;93400;220;1800;184;2700
95000;35736;93400;178;1800;174;2700
100000;39852;93400;180;1800;192;2700
