SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;16582;29400;8878;13700;8818;15900
10000;18992;44500;18534;58300;19902;47900
15000;14908;44500;38970;111100;30074;95400
20000;18638;44500;45024;111100;44458;121400
25000;24908;47400;50626;136100;49528;157000
30000;31314;47400;63514;192000;59072;168400
35000;38518;96800;64160;244500;60924;339800
40000;40896;96800;84362;258200;78988;339800
45000;42944;96800;85262;334900;76248;339800
50000;48924;96800;85924;334900;83110;339800
55000;57502;96800;106106;337100;106674;565800
60000;59936;105200;104800;337100;98178;565800
65000;67486;107400;136052;386300;144908;565800
70000;69586;107400;194210;386300;173884;565800
75000;69198;107400;202122;635400;178162;565800
80000;77158;125600;201082;635400;191354;565800
85000;77762;125600;228296;635400;204610;565800
90000;84078;144500;223640;635400;212876;565800
95000;85624;144500;215024;635400;226652;565800
100000;92250;144500;294384;635400;265950;565800
